2.2	DOC3	XXX	它	个性	1
2.2	DOC16	XXX	2.0	起步的动力	1
2.2	DOC16	XXX	1.6	起步的动力	-1
2.2	DOC24	XXX	吉利	取消分电器的设计	1
2.2	DOC24	XXX	8A	取消分电器的设计	-1
2.2	DOC25	XXX	新雅阁	外形	-1
2.2	DOC25	XXX	M6	外形	-1
2.2	DOC40	XXX	奥拓车	养路费	1
2.2	DOC40	XXX	其他轿车	养路费	-1
2.2	DOC50	XXX	COROLLA卡罗拉	外形	1
2.2	DOC50	XXX	COROLLA花冠	外形	-1
2.2	DOC50	XXX	COROLLA卡罗拉	NULL	1
2.2	DOC50	XXX	COROLLA花冠	NULL	-1
2.2	DOC67	XXX	NULL	百公里油耗	1
2.2	DOC67	XXX	汽油版车型	百公里油耗	-1
2.2	DOC76	XXX	PST	底盘	1
2.2	DOC76	XXX	YG	底盘	-1
2.2	DOC98	XXX	M6	排量	1
2.2	DOC98	XXX	雅阁	排量	-1
2.2	DOC98	XXX	M6	NULL	1
2.2	DOC98	XXX	雅阁	NULL	-1
2.2	DOC102	XXX	这款车	设施	1
2.2	DOC102	XXX	其它车	设施	-1
2.2	DOC102	XXX	这款车	设施	-1
2.2	DOC102	XXX	丰田	设施	1
2.2	DOC105	XXX	柴油捷达	NULL	0
2.2	DOC105	XXX	柴油哈佛	NULL	0
2.2	DOC108	XXX	宝马320i	档次	1
2.2	DOC108	XXX	你	档次	-1
2.2	DOC109	XXX	JD	车身	-1
2.2	DOC109	XXX	FK	车身	1
2.2	DOC138	XXX	凯越	性价比	1
2.2	DOC144	XXX	530I	NULL	-1
2.2	DOC144	XXX	A6(18T-5SPEED豪华型)	NULL	1
2.2	DOC145	XXX	奔腾	NULL	1
2.2	DOC145	XXX	华晨	NULL	-1
2.2	DOC160	XXX	威驰	档次	1
2.2	DOC160	XXX	fit	档次	1
2.2	DOC160	XXX	威驰	底盘	1
2.2	DOC160	XXX	xl2000	底盘	-1
2.2	DOC160	XXX	威驰	减震	1
2.2	DOC160	XXX	fit	减震	-1
2.2	DOC183	XXX	NULL	轴距	-1
2.2	DOC183	XXX	领驭	轴距	1
2.2	DOC192	XXX	M6	配置	-1
2.2	DOC192	XXX	奔腾	配置	1
2.2	DOC192	XXX	M6	价格	-1
2.2	DOC192	XXX	奔腾	价格	1
2.2	DOC200	XXX	A4	车身空间	1
2.2	DOC200	XXX	NULL	车身空间	-1
2.2	DOC201	XXX	NULL	各方面	1
2.2	DOC201	XXX	韩国车	各方面	-1
2.2	DOC201	XXX	NULL	质量	1
2.2	DOC201	XXX	韩国车	质量	-1
2.2	DOC220	XXX	SUPER	驾驶感	1
2.2	DOC220	XXX	日车	驾驶感	-1
2.2	DOC243	XXX	飞度	样子	0
2.2	DOC243	XXX	XL2000	样子	0
2.2	DOC243	XXX	飞度	电器	0
2.2	DOC243	XXX	XL2000	电器	0
2.2	DOC250	XXX	NULL	中控台	-1
2.2	DOC250	XXX	高档车	中控台	1
2.2	DOC252	XXX	NULL	NULL	1
2.2	DOC252	XXX	10万左右的车	NULL	-1
2.2	DOC260	XXX	奥迪	烧机油	-1
2.2	DOC260	XXX	捷达	烧机油	1
2.2	DOC265	XXX	骏捷	NULL	-1
2.2	DOC265	XXX	别克奔驰宝马	NULL	1
2.2	DOC266	XXX	胎噪	声音	-1
2.2	DOC266	XXX	发动机	声音	1
2.2	DOC296	XXX	韩泰轮胎	过弯时抓地力	-1
2.2	DOC296	XXX	03款的固特异轮胎	过弯时抓地力	1
2.2	DOC301	XXX	亚阁	NULL	1
2.2	DOC301	XXX	MDO	NULL	-1
